"original_disk_num";"patch_disk_num";"i_disks_script_disk";"script_num";"original_basic_line";"patch_basic_line";"original_string_num";"patch_string_num";"japanese_text";"patch_source_text";"english_text";"disk_mapping_status";"match_status";"match_method";"match_reason";"linked_original_key";"linked_patch_key"
"menu";"";"menu";"menu";"1262";"";"8";"";"";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1262/8";""
"menu";"";"menu";"menu";"1263";"";"9";"";"n";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1263/9";""
"menu";"";"menu";"menu";"1263";"";"10";"";"N";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1263/10";""
"menu";"";"menu";"menu";"1264";"";"11";"";"y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1264/11";""
"menu";"";"menu";"menu";"1264";"";"12";"";"Y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1264/12";""
"menu";"menu";"menu";"menu";"1268";"1268";"13";"13";"ドライブ１のディスクに、プログラムをＳＡＶＥしています。";"ドライブ１のディスクに、プログラムをＳＡＶＥしています。";"The program has been saved in the disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1268/13";"menu/menu/1268/13"
"menu";"menu";"menu";"menu";"1285";"1285";"14";"14";"　　　場面保存・ディスクが出来ました。";"　　　場面保存・ディスクが出来ました。";"      You have created a Storage Disk.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1285/14";"menu/menu/1285/14"
"menu";"menu";"menu";"menu";"1286";"1286";"15";"15";"　　　ディスクに名前を書いて下さい。";"　　　ディスクに名前を書いて下さい。";"      Please write the name of the disk.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1286/15";"menu/menu/1286/15"
"menu";"menu";"menu";"menu";"1300";"1300";"16";"16";"ドライブ１とドライブ２に、ブランク・ディスクを入れて下さい。";"ドライブ１とドライブ２に、ブランク・ディスクを入れて下さい。";"Please insert a blank disk in Drive 1 and Drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1300/16";"menu/menu/1300/16"
"menu";"menu";"menu";"menu";"1304";"1304";"17";"17";"ドライブ１とドライブ２のディスクのＤＡＴＡが消されます。";"ドライブ１とドライブ２のディスクのＤＡＴＡが消されます。";"All data in the disks in Drive 1 and Drive 2 will be erased.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1304/17";"menu/menu/1304/17"
"menu";"menu";"menu";"menu";"1305";"1305";"18";"18";"間違いありませんか？　（Ｙ／Ｎ）";"間違いありませんか？　（Ｙ／Ｎ）";"Are you sure? (Y/N)";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1305/18";"menu/menu/1305/18"
"menu";"";"menu";"menu";"1306";"";"19";"";"";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1306/19";""
"menu";"";"menu";"menu";"1307";"";"20";"";"n";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1307/20";""
"menu";"";"menu";"menu";"1307";"";"21";"";"N";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1307/21";""
"menu";"";"menu";"menu";"1308";"";"22";"";"y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1308/22";""
"menu";"";"menu";"menu";"1308";"";"23";"";"Y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1308/23";""
"menu";"";"menu";"menu";"1316";"";"24";"";"I";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1316/24";""
"menu";"";"menu";"menu";"1316";"";"25";"";"P";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1316/25";""
"menu";"menu";"menu";"menu";"1320";"1320";"26";"26";"ドライブ１のディスクを、ＦＯＲＭＡＴしています。";"ドライブ１のディスクを、ＦＯＲＭＡＴしています。";"The disk in Drive 1 will be formatted.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1320/26";"menu/menu/1320/26"
"menu";"menu";"menu";"menu";"1370";"1370";"27";"27";"ドライブ１のディスクに、プログラムをＳＡＶＥしています。";"ドライブ１のディスクに、プログラムをＳＡＶＥしています。";"You will save the program on the disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1370/27";"menu/menu/1370/27"
"menu";"";"menu";"menu";"1406";"";"28";"";"I";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1406/28";""
"menu";"";"menu";"menu";"1406";"";"29";"";"P";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1406/29";""
"menu";"menu";"menu";"menu";"1410";"1410";"30";"30";"ドライブ２のディスクを、ＦＯＲＭＡＴしています。";"ドライブ２のディスクを、ＦＯＲＭＡＴしています。";"The disk in Drive 2 will be formatted.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1410/30";"menu/menu/1410/30"
"menu";"menu";"menu";"menu";"1450";"1450";"31";"31";"ドライブ２のディスクに、プログラムをＳＡＶＥしています。";"ドライブ２のディスクに、プログラムをＳＡＶＥしています。";"You will save the program on the disk in Drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1450/31";"menu/menu/1450/31"
"menu";"";"menu";"menu";"1510";"";"32";"";"A:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1510/32";""
"menu";"";"menu";"menu";"1550";"";"33";"";"B:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1550/33";""
"menu";"menu";"menu";"menu";"1600";"1600";"34";"34";"ドライブ１のディスクが、ＭＡＩＮ・ディスクです。ＭＡＩＮ・ディスクに名前を書いて下さい。";"ドライブ１のディスクが、ＭＡＩＮ・ディスクです。ＭＡＩＮ・ディスクに名前を書いて下さい。";"The disk in Drive 1 is the Main Disk. Please write the name of the Main Disk.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1600/34";"menu/menu/1600/34"
"menu";"menu";"menu";"menu";"1700";"1700";"35";"35";"ドライブ２のディスクが、ゲ−ム・ディスクです。ゲ−ム・ディスクにも名前を書いて下さい。";"ドライブ２のディスクが、ゲ－ム・ディスクです。ゲ－ム・ディスクにも名前を書いて下さい。";"The disk in Drive 2 is the Game Disk. Please write the name of the Game Disk.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/1700/35";"menu/menu/1700/35"
"menu";"menu";"menu";"menu";"1750";"1750";"36";"36";"ドライブ１に、ＭＡＩＮ・ディスクを入れて下さい。";"ドライブ１に、ＭＡＩＮ・ディスクを入れて下さい。";"Please insert the Main Disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1750/36";"menu/menu/1750/36"
"menu";"menu";"menu";"menu";"1780";"1780";"37";"37";"ドライブ２に、ゲ−ム・ディスクを入れて下さい。";"ドライブ２に、ゲ－ム・ディスクを入れて下さい。";"Please insert the Game Disk in Drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/1780/37";"menu/menu/1780/37"
"menu";"";"menu";"menu";"1800";"";"38";"";"A:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1800/38";""
"menu";"menu";"menu";"menu";"1820";"1820";"39";"39";"  ドライブ１の、ＭＡＩＮ・ディスクが違います。";"  ドライブ１の、ＭＡＩＮ・ディスクが違います。";"You have not inserted the Main Disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1820/39";"menu/menu/1820/39"
"menu";"";"menu";"menu";"1850";"";"40";"";"B:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1850/40";""
"menu";"menu";"menu";"menu";"1870";"1870";"41";"41";"ドライブ２の、ゲ−ム・ディスクが違います。";"ドライブ２の、ゲ－ム・ディスクが違います。";"You have not inserted the Game Disk in Drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/1870/41";"menu/menu/1870/41"
"menu";"";"menu";"menu";"1990";"";"42";"";"NO0";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/1990/42";""
"menu";"menu";"menu";"menu";"2010";"2010";"43";"43";"    ドライブ１に、場面保存・ディスクを入れて下さい。";"    ドライブ１に、場面保存・ディスクを入れて下さい。";"Please insert the Storage Disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/2010/43";"menu/menu/2010/43"
"menu";"";"menu";"menu";"2020";"";"44";"";"A:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/2020/44";""
"menu";"menu";"menu";"menu";"2026";"2026";"45";"45";"ドライブ１のディスクが、場面ＳＡＶＥ・ディスクと違います。";"ドライブ１のディスクが、場面ＳＡＶＥ・ディスクと違います。";"The disk in Drive 1 is not the correct Save Disk.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/2026/45";"menu/menu/2026/45"
"menu";"menu";"menu";"menu";"2260";"2260";"46";"46";"場面保存・ディスクの、ＤＡＴＡが不良です。";"場面保存・ディスクの、ＤＡＴＡが不良です。";"The data in the Storage Disk is corrupt.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/2260/46";"menu/menu/2260/46"
"menu";"menu";"menu";"menu";"2265";"2265";"47";"47";"最初から始めて下さい。";"最初から始めて下さい。";"Please start again from the beginning.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/2265/47";"menu/menu/2265/47"
"menu";"menu";"menu";"menu";"2400";"2400";"48";"48";"ドライブ１に、ＭＡＩＮ・ディスク";"ドライブ１に、ＭＡＩＮ・ディスク";"Insert the Main Disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/2400/48";"menu/menu/2400/48"
"menu";"menu";"menu";"menu";"2405";"2405";"49";"49";"ドライブ２に、ゲ−ム・ディスクを入れて下さい。";"ドライブ２に、ゲ－ム・ディスクを入れて下さい。";"Insert the Game Disk in drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/2405/49";"menu/menu/2405/49"
"menu";"";"menu";"menu";"2410";"";"50";"";"A:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/2410/50";""
"menu";"menu";"menu";"menu";"2430";"2430";"51";"51";"  ドライブ１の、ディスクが、ＭＡＩＮ・ディスクと違います。";"  ドライブ１の、ディスクが、ＭＡＩＮ・ディスクと違います。";"The disk in Drive 1 is not the Main Disk.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/2430/51";"menu/menu/2430/51"
"menu";"";"menu";"menu";"3000";"";"52";"";"B:";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3000/52";""
"menu";"menu";"menu";"menu";"3020";"3020";"53";"53";"ドライブ２の、ゲ−ム・ディスクが、ＳＡＶＥした時のディスクと違います。このディスクをゲ−ム・ディスクにしてもいいですか？　（Ｙ／Ｎ）";"ドライブ２の、ゲ－ム・ディスクが、ＳＡＶＥした時のディスクと違います。このディスクをゲ－ム・ディスクにしてもいいですか？　（Ｙ／Ｎ）";"The Game Disk in Drive 2 is not the same disk as your save file. Will you still this Game Disk? (Y/N)";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/3020/53";"menu/menu/3020/53"
"menu";"";"menu";"menu";"3050";"";"54";"";"";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3050/54";""
"menu";"";"menu";"menu";"3060";"";"55";"";"y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3060/55";""
"menu";"";"menu";"menu";"3060";"";"56";"";"Y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3060/56";""
"menu";"";"menu";"menu";"3070";"";"57";"";"n";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3070/57";""
"menu";"";"menu";"menu";"3070";"";"58";"";"N";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3070/58";""
"menu";"menu";"menu";"menu";"3090";"3090";"59";"59";"ドライブ２のディスクに、ゲ−ム・ディスクを入れて下さい。";"ドライブ２のディスクに、ゲ－ム・ディスクを入れて下さい。";"Please insert the Game Disk in Drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/3090/59";"menu/menu/3090/59"
"menu";"";"menu";"menu";"3102";"";"60";"";"I";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3102/60";""
"menu";"";"menu";"menu";"3102";"";"61";"";"P";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/3102/61";""
"menu";"menu";"menu";"menu";"3105";"3105";"62";"62";"ドライブ２のディスクを、ＦＯＲＭＡＴしています。";"ドライブ２のディスクを、ＦＯＲＭＡＴしています。";"The disk in Drive 2 will be formatted.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/3105/62";"menu/menu/3105/62"
"menu";"menu";"menu";"menu";"3130";"3130";"63";"63";"ドライブ２のディスクに、プログラムをＳＡＶＥしています。";"ドライブ２のディスクに、プログラムをＳＡＶＥしています。";"You will save the program on the disk in Drive 2.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/3130/63";"menu/menu/3130/63"
"menu";"menu";"menu";"menu";"4000";"4000";"64";"64";"用意ができたら、リタ−ン・キ−を押して下さい。";"用意ができたら、リタ－ン・キ－を押して下さい。";"Once you are ready, please press Return.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/4000/64";"menu/menu/4000/64"
"menu";"menu";"menu";"menu";"4001";"4001";"65";"65";"ＭＥＮＵに戻る時は、［ＥＳＣ］キ−を押して下さい。";"ＭＥＮＵに戻る時は、［ＥＳＣ］キ－を押して下さい。";"Press [ESC] to return to the menu.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/4001/65";"menu/menu/4001/65"
"menu";"";"menu";"menu";"4006";"";"66";"";"";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/4006/66";""
"menu";"";"menu";"menu";"5430";"";"67";"";"";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/5430/67";""
"menu";"";"menu";"menu";"5435";"";"68";"";"8";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/5435/68";""
"menu";"";"menu";"menu";"5436";"";"69";"";"2";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/5436/69";""
"menu";"menu";"menu";"menu";"9040";"9040";"70";"70";"ＣＤ音楽リピ−ト　：　ＯＮ  ＯＦＦ";"ＣＤ音楽リピ－ト　：　ＯＮ  ＯＦＦ";"CD Music Repeat: ON OFF";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/9040/70";"menu/menu/9040/70"
"menu";"menu";"menu";"menu";"9050";"9050";"71";"71";"文字表示スピ−ド　：　１・２・３";"文字表示スピ－ド　：　１・２・３";"Character Display Speed: 1 - 2 - 3";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/9050/71";"menu/menu/9050/71"
"menu";"menu";"menu";"menu";"9100";"9100";"72";"72";"８・２で選択して４・６で設定しリタ−ンで決定して下さい";"８・２で選択して４・６で設定しリタ－ンで決定して下さい";"Select with [8]/[2], change with [4]/[6], confirm with Return.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/9100/72";"menu/menu/9100/72"
"menu";"";"menu";"menu";"9930";"";"73";"";"";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/9930/73";""
"menu";"";"menu";"menu";"9935";"";"74";"";"8";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/9935/74";""
"menu";"";"menu";"menu";"9936";"";"75";"";"2";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/9936/75";""
"menu";"";"menu";"menu";"9937";"";"76";"";"4";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/9937/76";""
"menu";"";"menu";"menu";"9938";"";"77";"";"6";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/9938/77";""
"menu";"";"menu";"menu";"9939";"";"78";"";"Y";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"menu/menu/9939/78";""
"disk01";"";"disk01";"NO0";"10";"";"0";"";"00:01";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/10/0";""
"disk01";"";"disk01";"NO0";"10";"";"1";"";"01:40";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/10/1";""
"disk01";"";"disk01";"NO0";"20";"";"2";"";"OPN1";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/20/2";""
"disk01";"";"disk01";"NO0";"30";"";"3";"";"OPN2";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/30/3";""
"disk01";"";"disk01";"NO0";"40";"";"4";"";"OPN3";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/40/4";""
"disk01";"";"disk01";"NO0";"50";"";"5";"";"OPN4";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/50/5";""
"disk01";"";"disk01";"NO0";"60";"";"6";"";"OPN5";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/60/6";""
"disk01";"";"disk01";"NO0";"60";"";"7";"";"03:42";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/60/7";""
"disk01";"";"disk01";"NO0";"60";"";"8";"";"06:33";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/60/8";""
"disk01";"";"disk01";"NO0";"70";"";"9";"";"OPN6";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/70/9";""
"disk01";"";"disk01";"NO0";"80";"";"10";"";"OPN7";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/80/10";""
"disk01";"";"disk01";"NO0";"90";"";"11";"";"OPN8";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/90/11";""
"disk01";"";"disk01";"NO0";"100";"";"12";"";"OPN9";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/100/12";""
"disk01";"";"disk01";"NO0";"110";"";"13";"";"OP10";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/110/13";""
"disk01";"";"disk01";"NO0";"120";"";"14";"";"OP11";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/120/14";""
"disk01";"";"disk01";"NO0";"130";"";"15";"";"MIR0";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/130/15";""
"disk01";"";"disk01";"NO0";"130";"";"16";"";"14:19";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/130/16";""
"disk01";"";"disk01";"NO0";"130";"";"17";"";"15:19";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/130/17";""
"disk01";"";"disk01";"NO0";"130";"";"18";"";"MIR1";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/130/18";""
"disk01";"";"disk01";"NO0";"130";"";"19";"";"MIR3";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/130/19";""
"disk01";"";"disk01";"NO0";"3000";"";"20";"";"8:42";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/3000/20";""
"disk01";"";"disk01";"NO0";"3000";"";"21";"";"11:55";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/3000/21";""
"disk01";"";"disk01";"NO0";"3000";"";"22";"";"VIEW";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/3000/22";""
"disk01";"";"disk01";"NO0";"5500";"";"23";"";"DAVA";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/5500/23";""
"disk01";"";"disk01";"NO0";"5600";"";"24";"";"LDAT";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/5600/24";""
"disk01";"";"disk01";"NO0";"8020";"";"25";"";"Pｱﾙｸ";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/8020/25";""
"disk01";"";"disk01";"NO0";"8020";"";"26";"";"Pｶﾞﾗ";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/8020/26";""
"disk01";"";"disk01";"NO0";"8020";"";"27";"";"Pｲｷ";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/8020/27";""
"disk01";"";"disk01";"NO0";"8025";"";"28";"";"Pｺｶﾞ";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/8025/28";""
"disk01";"";"disk01";"NO0";"8025";"";"29";"";"Pｶﾐﾅ";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/8025/29";""
"disk01";"";"disk01";"NO0";"9105";"";"30";"";"▽";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/9105/30";""
"disk01";"disk01";"disk01";"NO0";"10010";"10010";"31";"31";"この物語は一部を除いてフィクシ";"この物語は一部を除いてフィクシ";"This story is a work of fiction.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10010/31";"disk01/NO0/10010/31"
"disk01";"disk01";"disk01";"NO0";"10011";"10011";"32";"32";"ョンであり、実在の人物・地名・";"ョンであり、実在の人物・地名・";"Any similarity to actual persons, living";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10011/32";"disk01/NO0/10011/32"
"disk01";"disk01";"disk01";"NO0";"10012";"10012";"33";"33";"団体名とは一切関係ありません。";"団体名とは一切関係ありません。";"or dead, is purely coincidental.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10012/33";"disk01/NO0/10012/33"
"disk01";"disk01";"disk01";"NO0";"10100";"10100";"34";"34";"白・・・・・・";"白・・・・・・";"White...";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10100/34";"disk01/NO0/10100/34"
"disk01";"disk01";"disk01";"NO0";"10150";"10150";"35";"35";"白い部屋・・・";"白い部屋・・・";"A white room...";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10150/35";"disk01/NO0/10150/35"
"disk01";"";"disk01";"NO0";"10150";"";"36";"";"  ";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/10150/36";""
"disk01";"";"disk01";"NO0";"10180";"";"37";"";"TX2";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/10180/37";""
"disk01";"disk01";"disk01";"NO0";"10200";"10200";"38";"38";"白・・・・・・";"白・・・・・・";"White...";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10200/38";"disk01/NO0/10200/38"
"disk01";"disk01";"disk01";"NO0";"10250";"10250";"39";"39";"白い時間・・・";"白い時間・・・";"A white time...";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10250/39";"disk01/NO0/10250/39"
"disk01";"";"disk01";"NO0";"10280";"";"40";"";"TX8";"";"";"unmapped";"original_only";"none";"no_patch_source_in_script";"disk01/NO0/10280/40";""
"disk01";"disk01";"disk01";"NO0";"10300";"10300";"41";"41";"見慣れた石畳";"見慣れた石畳";"The familiar stone pavement";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"disk01/NO0/10300/41";"disk01/NO0/10300/41"
