role,profile,profile_label,cell,jamo,glyph_index,offset
initial,8,초성 8벌,16,ㅋ,156,4992
initial,8,초성 8벌,17,ㅌ,157,5024
initial,8,초성 8벌,18,ㅍ,158,5056
initial,8,초성 8벌,19,ㅎ,159,5088
medial,1,중성 1벌,0,(무받침),160,5120
medial,1,중성 1벌,1,ㅏ,161,5152
medial,1,중성 1벌,2,ㅐ,162,5184
medial,1,중성 1벌,3,ㅑ,163,5216
medial,1,중성 1벌,4,ㅒ,164,5248
medial,1,중성 1벌,5,ㅓ,165,5280
medial,1,중성 1벌,6,ㅔ,166,5312
medial,1,중성 1벌,7,ㅕ,167,5344
medial,1,중성 1벌,8,ㅖ,168,5376
medial,1,중성 1벌,9,ㅗ,169,5408
medial,1,중성 1벌,10,ㅘ,170,5440
medial,1,중성 1벌,11,ㅙ,171,5472
medial,1,중성 1벌,12,ㅚ,172,5504
medial,1,중성 1벌,13,ㅛ,173,5536
medial,1,중성 1벌,14,ㅜ,174,5568
medial,1,중성 1벌,15,ㅝ,175,5600
medial,1,중성 1벌,16,ㅞ,176,5632
medial,1,중성 1벌,17,ㅟ,177,5664
medial,1,중성 1벌,18,ㅠ,178,5696
medial,1,중성 1벌,19,ㅡ,179,5728
medial,1,중성 1벌,20,ㅢ,180,5760
medial,1,중성 1벌,21,ㅣ,181,5792
medial,2,중성 2벌,0,(무받침),182,5824
medial,2,중성 2벌,1,ㅏ,183,5856
medial,2,중성 2벌,2,ㅐ,184,5888
medial,2,중성 2벌,3,ㅑ,185,5920
medial,2,중성 2벌,4,ㅒ,186,5952
medial,2,중성 2벌,5,ㅓ,187,5984
medial,2,중성 2벌,6,ㅔ,188,6016
medial,2,중성 2벌,7,ㅕ,189,6048
medial,2,중성 2벌,8,ㅖ,190,6080
medial,2,중성 2벌,9,ㅗ,191,6112
medial,2,중성 2벌,10,ㅘ,192,6144
medial,2,중성 2벌,11,ㅙ,193,6176
medial,2,중성 2벌,12,ㅚ,194,6208
medial,2,중성 2벌,13,ㅛ,195,6240
medial,2,중성 2벌,14,ㅜ,196,6272
medial,2,중성 2벌,15,ㅝ,197,6304
medial,2,중성 2벌,16,ㅞ,198,6336
medial,2,중성 2벌,17,ㅟ,199,6368
medial,2,중성 2벌,18,ㅠ,200,6400
medial,2,중성 2벌,19,ㅡ,201,6432
medial,2,중성 2벌,20,ㅢ,202,6464
medial,2,중성 2벌,21,ㅣ,203,6496
medial,3,중성 3벌,0,(무받침),204,6528
medial,3,중성 3벌,1,ㅏ,205,6560
medial,3,중성 3벌,2,ㅐ,206,6592
medial,3,중성 3벌,3,ㅑ,207,6624
medial,3,중성 3벌,4,ㅒ,208,6656
medial,3,중성 3벌,5,ㅓ,209,6688
medial,3,중성 3벌,6,ㅔ,210,6720
medial,3,중성 3벌,7,ㅕ,211,6752
medial,3,중성 3벌,8,ㅖ,212,6784
medial,3,중성 3벌,9,ㅗ,213,6816
medial,3,중성 3벌,10,ㅘ,214,6848
medial,3,중성 3벌,11,ㅙ,215,6880
medial,3,중성 3벌,12,ㅚ,216,6912
medial,3,중성 3벌,13,ㅛ,217,6944
medial,3,중성 3벌,14,ㅜ,218,6976
medial,3,중성 3벌,15,ㅝ,219,7008
medial,3,중성 3벌,16,ㅞ,220,7040
medial,3,중성 3벌,17,ㅟ,221,7072
medial,3,중성 3벌,18,ㅠ,222,7104
medial,3,중성 3벌,19,ㅡ,223,7136
medial,3,중성 3벌,20,ㅢ,224,7168
medial,3,중성 3벌,21,ㅣ,225,7200
medial,4,중성 4벌,0,(무받침),226,7232
medial,4,중성 4벌,1,ㅏ,227,7264
medial,4,중성 4벌,2,ㅐ,228,7296
medial,4,중성 4벌,3,ㅑ,229,7328
medial,4,중성 4벌,4,ㅒ,230,7360
medial,4,중성 4벌,5,ㅓ,231,7392
medial,4,중성 4벌,6,ㅔ,232,7424
medial,4,중성 4벌,7,ㅕ,233,7456
medial,4,중성 4벌,8,ㅖ,234,7488
medial,4,중성 4벌,9,ㅗ,235,7520
medial,4,중성 4벌,10,ㅘ,236,7552
medial,4,중성 4벌,11,ㅙ,237,7584
medial,4,중성 4벌,12,ㅚ,238,7616
medial,4,중성 4벌,13,ㅛ,239,7648
medial,4,중성 4벌,14,ㅜ,240,7680
medial,4,중성 4벌,15,ㅝ,241,7712
medial,4,중성 4벌,16,ㅞ,242,7744
medial,4,중성 4벌,17,ㅟ,243,7776
medial,4,중성 4벌,18,ㅠ,244,7808
medial,4,중성 4벌,19,ㅡ,245,7840
medial,4,중성 4벌,20,ㅢ,246,7872
medial,4,중성 4벌,21,ㅣ,247,7904
final,1,종성 1벌,0,(무받침),248,7936
final,1,종성 1벌,1,ㄱ,249,7968
final,1,종성 1벌,2,ㄲ,250,8000
final,1,종성 1벌,3,ㄳ,251,8032
final,1,종성 1벌,4,ㄴ,252,8064
final,1,종성 1벌,5,ㄵ,253,8096
final,1,종성 1벌,6,ㄶ,254,8128
final,1,종성 1벌,7,ㄷ,255,8160
final,1,종성 1벌,8,ㄹ,256,8192
final,1,종성 1벌,9,ㄺ,257,8224
final,1,종성 1벌,10,ㄻ,258,8256
final,1,종성 1벌,11,ㄼ,259,8288
final,1,종성 1벌,12,ㄽ,260,8320
final,1,종성 1벌,13,ㄾ,261,8352
final,1,종성 1벌,14,ㄿ,262,8384
final,1,종성 1벌,15,ㅀ,263,8416
final,1,종성 1벌,16,ㅁ,264,8448
final,1,종성 1벌,17,ㅂ,265,8480
final,1,종성 1벌,18,ㅄ,266,8512
final,1,종성 1벌,19,ㅅ,267,8544
final,1,종성 1벌,20,ㅆ,268,8576
final,1,종성 1벌,21,ㅇ,269,8608
final,1,종성 1벌,22,ㅈ,270,8640
final,1,종성 1벌,23,ㅊ,271,8672
final,1,종성 1벌,24,ㅋ,272,8704
final,1,종성 1벌,25,ㅌ,273,8736
final,1,종성 1벌,26,ㅍ,274,8768
final,1,종성 1벌,27,ㅎ,275,8800
final,2,종성 2벌,0,(무받침),276,8832
final,2,종성 2벌,1,ㄱ,277,8864
final,2,종성 2벌,2,ㄲ,278,8896
final,2,종성 2벌,3,ㄳ,279,8928
final,2,종성 2벌,4,ㄴ,280,8960
final,2,종성 2벌,5,ㄵ,281,8992
final,2,종성 2벌,6,ㄶ,282,9024
final,2,종성 2벌,7,ㄷ,283,9056
final,2,종성 2벌,8,ㄹ,284,9088
final,2,종성 2벌,9,ㄺ,285,9120
final,2,종성 2벌,10,ㄻ,286,9152
final,2,종성 2벌,11,ㄼ,287,9184
final,2,종성 2벌,12,ㄽ,288,9216
final,2,종성 2벌,13,ㄾ,289,9248
final,2,종성 2벌,14,ㄿ,290,9280
final,2,종성 2벌,15,ㅀ,291,9312
final,2,종성 2벌,16,ㅁ,292,9344
final,2,종성 2벌,17,ㅂ,293,9376
final,2,종성 2벌,18,ㅄ,294,9408
final,2,종성 2벌,19,ㅅ,295,9440
final,2,종성 2벌,20,ㅆ,296,9472
final,2,종성 2벌,21,ㅇ,297,9504
final,2,종성 2벌,22,ㅈ,298,9536
final,2,종성 2벌,23,ㅊ,299,9568
final,2,종성 2벌,24,ㅋ,300,9600
final,2,종성 2벌,25,ㅌ,301,9632
final,2,종성 2벌,26,ㅍ,302,9664
final,2,종성 2벌,27,ㅎ,303,9696
final,3,종성 3벌,0,(무받침),304,9728
final,3,종성 3벌,1,ㄱ,305,9760
final,3,종성 3벌,2,ㄲ,306,9792
final,3,종성 3벌,3,ㄳ,307,9824
final,3,종성 3벌,4,ㄴ,308,9856
final,3,종성 3벌,5,ㄵ,309,9888
final,3,종성 3벌,6,ㄶ,310,9920
final,3,종성 3벌,7,ㄷ,311,9952
final,3,종성 3벌,8,ㄹ,312,9984
final,3,종성 3벌,9,ㄺ,313,10016
final,3,종성 3벌,10,ㄻ,314,10048
final,3,종성 3벌,11,ㄼ,315,10080
final,3,종성 3벌,12,ㄽ,316,10112
final,3,종성 3벌,13,ㄾ,317,10144
final,3,종성 3벌,14,ㄿ,318,10176
final,3,종성 3벌,15,ㅀ,319,10208
final,3,종성 3벌,16,ㅁ,320,10240
final,3,종성 3벌,17,ㅂ,321,10272
final,3,종성 3벌,18,ㅄ,322,10304
final,3,종성 3벌,19,ㅅ,323,10336
final,3,종성 3벌,20,ㅆ,324,10368
final,3,종성 3벌,21,ㅇ,325,10400
final,3,종성 3벌,22,ㅈ,326,10432
final,3,종성 3벌,23,ㅊ,327,10464
final,3,종성 3벌,24,ㅋ,328,10496
final,3,종성 3벌,25,ㅌ,329,10528
final,3,종성 3벌,26,ㅍ,330,10560
final,3,종성 3벌,27,ㅎ,331,10592
final,4,종성 4벌,0,(무받침),332,10624
final,4,종성 4벌,1,ㄱ,333,10656
final,4,종성 4벌,2,ㄲ,334,10688
final,4,종성 4벌,3,ㄳ,335,10720
final,4,종성 4벌,4,ㄴ,336,10752
final,4,종성 4벌,5,ㄵ,337,10784
final,4,종성 4벌,6,ㄶ,338,10816
final,4,종성 4벌,7,ㄷ,339,10848
final,4,종성 4벌,8,ㄹ,340,10880
final,4,종성 4벌,9,ㄺ,341,10912
final,4,종성 4벌,10,ㄻ,342,10944
final,4,종성 4벌,11,ㄼ,343,10976
final,4,종성 4벌,12,ㄽ,344,11008
final,4,종성 4벌,13,ㄾ,345,11040
final,4,종성 4벌,14,ㄿ,346,11072
final,4,종성 4벌,15,ㅀ,347,11104
final,4,종성 4벌,16,ㅁ,348,11136
final,4,종성 4벌,17,ㅂ,349,11168
final,4,종성 4벌,18,ㅄ,350,11200
final,4,종성 4벌,19,ㅅ,351,11232
final,4,종성 4벌,20,ㅆ,352,11264
final,4,종성 4벌,21,ㅇ,353,11296
final,4,종성 4벌,22,ㅈ,354,11328
final,4,종성 4벌,23,ㅊ,355,11360
final,4,종성 4벌,24,ㅋ,356,11392
final,4,종성 4벌,25,ㅌ,357,11424
final,4,종성 4벌,26,ㅍ,358,11456
final,4,종성 4벌,27,ㅎ,359,11488
