index,syllable,unicode,codepoint,x,y,status
199,능,U+B2A5,45733,56,192,used
200,늦,U+B2A6,45734,64,192,used
201,늬,U+B2AC,45740,72,192,used
202,니,U+B2C8,45768,80,192,used
203,닉,U+B2C9,45769,88,192,used
204,닌,U+B2CC,45772,96,192,used
205,닐,U+B2D0,45776,104,192,used
206,님,U+B2D8,45784,112,192,used
207,닙,U+B2D9,45785,120,192,used
208,닛,U+B2DB,45787,0,208,used
209,닝,U+B2DD,45789,8,208,used
210,다,U+B2E4,45796,16,208,used
211,닥,U+B2E5,45797,24,208,used
212,닦,U+B2E6,45798,32,208,used
213,단,U+B2E8,45800,40,208,used
214,닫,U+B2EB,45803,48,208,used
215,달,U+B2EC,45804,56,208,used
216,닮,U+B2EE,45806,64,208,used
217,담,U+B2F4,45812,72,208,used
218,답,U+B2F5,45813,80,208,used
219,닷,U+B2F7,45815,88,208,used
220,당,U+B2F9,45817,96,208,used
221,닿,U+B2FF,45823,104,208,used
222,대,U+B300,45824,112,208,used
223,댄,U+B304,45828,120,208,used
224,댈,U+B308,45832,0,224,used
225,댔,U+B314,45844,8,224,used
226,댕,U+B315,45845,16,224,used
227,더,U+B354,45908,24,224,used
228,덕,U+B355,45909,32,224,used
229,던,U+B358,45912,40,224,used
230,덜,U+B35C,45916,48,224,used
231,덤,U+B364,45924,56,224,used
232,덩,U+B369,45929,64,224,used
233,덫,U+B36B,45931,72,224,used
234,덮,U+B36E,45934,80,224,used
235,데,U+B370,45936,88,224,used
236,뎌,U+B38C,45964,96,224,used
237,뎠,U+B3A0,45984,104,224,used
238,도,U+B3C4,46020,112,224,used
239,독,U+B3C5,46021,120,224,used
240,돈,U+B3C8,46024,0,240,used
241,돋,U+B3CB,46027,8,240,used
242,돌,U+B3CC,46028,16,240,used
243,돔,U+B3D4,46036,24,240,used
244,돕,U+B3D5,46037,32,240,used
245,동,U+B3D9,46041,40,240,used
246,돼,U+B3FC,46076,48,240,used
247,됐,U+B410,46096,56,240,used
248,되,U+B418,46104,64,240,used
249,된,U+B41C,46108,72,240,used
250,될,U+B420,46112,80,240,used
251,됩,U+B429,46121,88,240,used
252,두,U+B450,46160,96,240,used
253,둑,U+B451,46161,104,240,used
254,둔,U+B454,46164,112,240,used
255,둘,U+B458,46168,120,240,used
256,둠,U+B460,46176,0,256,used
257,둡,U+B461,46177,8,256,used
258,둥,U+B465,46181,16,256,used
259,둬,U+B46C,46188,24,256,used
260,뒀,U+B480,46208,32,256,used
261,뒤,U+B4A4,46244,40,256,used
262,뒷,U+B4B7,46263,48,256,used
263,뒹,U+B4B9,46265,56,256,used
264,듀,U+B4C0,46272,64,256,used
265,드,U+B4DC,46300,72,256,used
266,득,U+B4DD,46301,80,256,used
267,든,U+B4E0,46304,88,256,used
268,듣,U+B4E3,46307,96,256,used
269,들,U+B4E4,46308,104,256,used
270,듬,U+B4EC,46316,112,256,used
271,듯,U+B4EF,46319,120,256,used
272,등,U+B4F1,46321,0,272,used
273,디,U+B514,46356,8,272,used
274,딘,U+B518,46360,16,272,used
275,딜,U+B51C,46364,24,272,used
276,딩,U+B529,46377,32,272,used
277,딪,U+B52A,46378,40,272,used
278,따,U+B530,46384,48,272,used
279,딱,U+B531,46385,56,272,used
280,딴,U+B534,46388,64,272,used
281,땀,U+B540,46400,72,272,used
282,땅,U+B545,46405,80,272,used
283,때,U+B54C,46412,88,272,used
284,땠,U+B560,46432,96,272,used
285,떠,U+B5A0,46496,104,272,used
286,떡,U+B5A1,46497,112,272,used
287,떤,U+B5A4,46500,120,272,used
288,떨,U+B5A8,46504,0,288,used
289,떴,U+B5B4,46516,8,288,used
290,떻,U+B5BB,46523,16,288,used
291,떼,U+B5BC,46524,24,288,used
292,뗀,U+B5C0,46528,32,288,used
293,또,U+B610,46608,40,288,used
294,똑,U+B611,46609,48,288,used
295,똥,U+B625,46629,56,288,used
296,뚜,U+B69C,46748,64,288,used
297,뚝,U+B69D,46749,72,288,used
298,뚫,U+B6AB,46763,80,288,used
299,뚱,U+B6B1,46769,88,288,used
300,뛰,U+B6F0,46832,96,288,used
301,뜨,U+B728,46888,104,288,used
302,뜩,U+B729,46889,112,288,used
303,뜬,U+B72C,46892,120,288,used
304,뜯,U+B72F,46895,0,304,used
305,뜰,U+B730,46896,8,304,used
306,뜻,U+B73B,46907,16,304,used
307,띄,U+B744,46916,24,304,used
308,띠,U+B760,46944,32,304,used
309,띤,U+B764,46948,40,304,used
310,라,U+B77C,46972,48,304,used
311,락,U+B77D,46973,56,304,used
312,란,U+B780,46976,64,304,used
313,랄,U+B784,46980,72,304,used
314,람,U+B78C,46988,80,304,used
315,랍,U+B78D,46989,88,304,used
316,랐,U+B790,46992,96,304,used
317,랑,U+B791,46993,104,304,used
318,래,U+B798,47000,112,304,used
319,랜,U+B79C,47004,120,304,used
320,램,U+B7A8,47016,0,320,used
321,랫,U+B7AB,47019,8,320,used
322,랬,U+B7AC,47020,16,320,used
323,략,U+B7B5,47029,24,320,used
324,량,U+B7C9,47049,32,320,used
325,러,U+B7EC,47084,40,320,used
326,럭,U+B7ED,47085,48,320,used
327,런,U+B7F0,47088,56,320,used
328,럴,U+B7F4,47092,64,320,used
329,럼,U+B7FC,47100,72,320,used
330,럽,U+B7FD,47101,80,320,used
331,렀,U+B800,47104,88,320,used
332,렁,U+B801,47105,96,320,used
333,렇,U+B807,47111,104,320,used
334,레,U+B808,47112,112,320,used
335,렉,U+B809,47113,120,320,used
336,렌,U+B80C,47116,0,336,used
337,렘,U+B818,47128,8,336,used
338,려,U+B824,47140,16,336,used
339,력,U+B825,47141,24,336,used
340,련,U+B828,47144,32,336,used
341,렬,U+B82C,47148,40,336,used
342,렴,U+B834,47156,48,336,used
343,렵,U+B835,47157,56,336,used
344,렷,U+B837,47159,64,336,used
345,렸,U+B838,47160,72,336,used
346,령,U+B839,47161,80,336,used
347,례,U+B840,47168,88,336,used
348,로,U+B85C,47196,96,336,used
349,록,U+B85D,47197,104,336,used
350,론,U+B860,47200,112,336,used
351,롭,U+B86D,47213,120,336,used
352,롱,U+B871,47217,0,352,used
353,뢰,U+B8B0,47280,8,352,used
354,료,U+B8CC,47308,16,352,used
355,루,U+B8E8,47336,24,352,used
356,룩,U+B8E9,47337,32,352,used
357,룬,U+B8EC,47340,40,352,used
358,룰,U+B8F0,47344,48,352,used
359,룸,U+B8F8,47352,56,352,used
360,룻,U+B8FB,47355,64,352,used
361,뤄,U+B904,47364,72,352,used
362,뤼,U+B93C,47420,80,352,used
363,류,U+B958,47448,88,352,used
364,륨,U+B968,47464,96,352,used
365,륭,U+B96D,47469,104,352,used
366,르,U+B974,47476,112,352,used
367,른,U+B978,47480,120,352,used
368,를,U+B97C,47484,0,368,used
369,름,U+B984,47492,8,368,used
370,릅,U+B985,47493,16,368,used
371,릇,U+B987,47495,24,368,used
372,릎,U+B98E,47502,32,368,used
373,리,U+B9AC,47532,40,368,used
374,릭,U+B9AD,47533,48,368,used
375,린,U+B9B0,47536,56,368,used
376,릴,U+B9B4,47540,64,368,used
377,림,U+B9BC,47548,72,368,used
378,립,U+B9BD,47549,80,368,used
379,릿,U+B9BF,47551,88,368,used
380,링,U+B9C1,47553,96,368,used
381,마,U+B9C8,47560,104,368,used
382,막,U+B9C9,47561,112,368,used
383,만,U+B9CC,47564,120,368,used
384,많,U+B9CE,47566,0,384,used
385,말,U+B9D0,47568,8,384,used
386,맑,U+B9D1,47569,16,384,used
387,맙,U+B9D9,47577,24,384,used
388,맛,U+B9DB,47579,32,384,used
389,망,U+B9DD,47581,40,384,used
390,맞,U+B9DE,47582,48,384,used
391,맡,U+B9E1,47585,56,384,used
392,맣,U+B9E3,47587,64,384,used
393,매,U+B9E4,47588,72,384,used
394,맥,U+B9E5,47589,80,384,used
395,맨,U+B9E8,47592,88,384,used
396,맴,U+B9F4,47604,96,384,used
397,맷,U+B9F7,47607,104,384,used
398,맸,U+B9F8,47608,112,384,used
399,맹,U+B9F9,47609,120,384,used
400,맺,U+B9FA,47610,0,400,used
401,머,U+BA38,47672,8,400,used
402,먹,U+BA39,47673,16,400,used
403,먼,U+BA3C,47676,24,400,used
404,멀,U+BA40,47680,32,400,used
405,멈,U+BA48,47688,40,400,used
406,멋,U+BA4B,47691,48,400,used
407,멍,U+BA4D,47693,56,400,used
408,멎,U+BA4E,47694,64,400,used
409,메,U+BA54,47700,72,400,used
410,멘,U+BA58,47704,80,400,used
411,멜,U+BA5C,47708,88,400,used
412,멤,U+BA64,47716,96,400,used
413,며,U+BA70,47728,104,400,used
414,면,U+BA74,47732,112,400,used
415,멸,U+BA78,47736,120,400,used
416,명,U+BA85,47749,0,416,used
417,몇,U+BA87,47751,8,416,used
418,모,U+BAA8,47784,16,416,used
419,목,U+BAA9,47785,24,416,used
420,몫,U+BAAB,47787,32,416,used
421,몰,U+BAB0,47792,40,416,used
422,몸,U+BAB8,47800,48,416,used
423,몹,U+BAB9,47801,56,416,used
424,못,U+BABB,47803,64,416,used
425,몽,U+BABD,47805,72,416,used
426,묘,U+BB18,47896,80,416,used
427,무,U+BB34,47924,88,416,used
428,묵,U+BB35,47925,96,416,used
429,묶,U+BB36,47926,104,416,used
430,문,U+BB38,47928,112,416,used
431,묻,U+BB3B,47931,120,416,used
432,물,U+BB3C,47932,0,432,used
433,뭇,U+BB47,47943,8,432,used
434,뭐,U+BB50,47952,16,432,used
435,뭔,U+BB54,47956,24,432,used
436,뭘,U+BB58,47960,32,432,used
437,뭣,U+BB63,47971,40,432,used
438,뮤,U+BBA4,48036,48,432,used
439,미,U+BBF8,48120,56,432,used
440,민,U+BBFC,48124,64,432,used
441,믿,U+BBFF,48127,72,432,used
442,밀,U+BC00,48128,80,432,used
443,밌,U+BC0C,48140,88,432,used
444,밍,U+BC0D,48141,96,432,used
445,및,U+BC0F,48143,104,432,used
446,밑,U+BC11,48145,112,432,used
447,바,U+BC14,48148,120,432,used
448,박,U+BC15,48149,0,448,used
449,밖,U+BC16,48150,8,448,used
450,반,U+BC18,48152,16,448,used
451,받,U+BC1B,48155,24,448,used
452,발,U+BC1C,48156,32,448,used
453,밝,U+BC1D,48157,40,448,used
454,밟,U+BC1F,48159,48,448,used
455,밤,U+BC24,48164,56,448,used
456,밥,U+BC25,48165,64,448,used
457,방,U+BC29,48169,72,448,used
458,밭,U+BC2D,48173,80,448,used
459,배,U+BC30,48176,88,448,used
460,백,U+BC31,48177,96,448,used
461,밴,U+BC34,48180,104,448,used
462,뱀,U+BC40,48192,112,448,used
463,뱉,U+BC49,48201,120,448,used
464,버,U+BC84,48260,0,464,used
465,번,U+BC88,48264,8,464,used
466,벌,U+BC8C,48268,16,464,used
467,범,U+BC94,48276,24,464,used
468,법,U+BC95,48277,32,464,used
469,벗,U+BC97,48279,40,464,used
470,베,U+BCA0,48288,48,464,used
471,벤,U+BCA4,48292,56,464,used
472,벨,U+BCA8,48296,64,464,used
473,벼,U+BCBC,48316,72,464,used
474,벽,U+BCBD,48317,80,464,used
475,변,U+BCC0,48320,88,464,used
476,별,U+BCC4,48324,96,464,used
477,볍,U+BCCD,48333,104,464,used
478,볐,U+BCD0,48336,112,464,used
479,병,U+BCD1,48337,120,464,used
480,보,U+BCF4,48372,0,480,used
481,복,U+BCF5,48373,8,480,used
482,본,U+BCF8,48376,16,480,used
483,볼,U+BCFC,48380,24,480,used
484,봄,U+BD04,48388,32,480,used
485,봅,U+BD05,48389,40,480,used
486,봉,U+BD09,48393,48,480,used
487,봐,U+BD10,48400,56,480,used
488,봤,U+BD24,48420,64,480,used
489,봬,U+BD2C,48428,72,480,used
490,뵐,U+BD50,48464,80,480,used
491,뵙,U+BD59,48473,88,480,used
492,부,U+BD80,48512,96,480,used
493,북,U+BD81,48513,104,480,used
494,분,U+BD84,48516,112,480,used
495,불,U+BD88,48520,120,480,used
496,붉,U+BD89,48521,0,496,used
497,붐,U+BD90,48528,8,496,used
498,붓,U+BD93,48531,16,496,used
499,붕,U+BD95,48533,24,496,used
500,붙,U+BD99,48537,32,496,used
501,뷔,U+BDD4,48596,40,496,used
502,뷰,U+BDF0,48624,48,496,used
503,브,U+BE0C,48652,56,496,used
504,블,U+BE14,48660,64,496,used
505,비,U+BE44,48708,72,496,used
506,빅,U+BE45,48709,80,496,used
507,빈,U+BE48,48712,88,496,used
508,빌,U+BE4C,48716,96,496,used
509,빗,U+BE57,48727,104,496,used
510,빚,U+BE5A,48730,112,496,used
511,빛,U+BE5B,48731,120,496,used
512,빠,U+BE60,48736,0,512,used
513,빡,U+BE61,48737,8,512,used
514,빨,U+BE68,48744,16,512,used
515,빼,U+BE7C,48764,24,512,used
516,뺀,U+BE80,48768,32,512,used
517,뺄,U+BE84,48772,40,512,used
518,뺐,U+BE90,48784,48,512,used
519,뻐,U+BED0,48848,56,512,used
520,뻑,U+BED1,48849,64,512,used
521,뻔,U+BED4,48852,72,512,used
522,뻗,U+BED7,48855,80,512,used
523,뼈,U+BF08,48904,88,512,used
524,뼉,U+BF09,48905,96,512,used
525,뽐,U+BF50,48976,104,512,used
526,뽑,U+BF51,48977,112,512,used
527,뿌,U+BFCC,49100,120,512,used
528,뿍,U+BFCD,49101,0,528,used
529,뿐,U+BFD0,49104,8,528,used
530,뿜,U+BFDC,49116,16,528,used
531,쁘,U+C058,49240,24,528,used
532,쁜,U+C05C,49244,32,528,used
533,쁨,U+C068,49256,40,528,used
534,삐,U+C090,49296,48,528,used
535,사,U+C0AC,49324,56,528,used
536,삭,U+C0AD,49325,64,528,used
537,산,U+C0B0,49328,72,528,used
538,살,U+C0B4,49332,80,528,used
539,삶,U+C0B6,49334,88,528,used
540,삼,U+C0BC,49340,96,528,used
541,샀,U+C0C0,49344,104,528,used
542,상,U+C0C1,49345,112,528,used
543,샅,U+C0C5,49349,120,528,used
544,새,U+C0C8,49352,0,544,used
545,색,U+C0C9,49353,8,544,used
546,샘,U+C0D8,49368,16,544,used
547,생,U+C0DD,49373,24,544,used
548,샤,U+C0E4,49380,32,544,used
549,샴,U+C0F4,49396,40,544,used
550,샹,U+C0F9,49401,48,544,used
551,서,U+C11C,49436,56,544,used
552,석,U+C11D,49437,64,544,used
553,섞,U+C11E,49438,72,544,used
554,선,U+C120,49440,80,544,used
555,설,U+C124,49444,88,544,used
556,섬,U+C12C,49452,96,544,used
557,섭,U+C12D,49453,104,544,used
558,섯,U+C12F,49455,112,544,used
559,섰,U+C130,49456,120,544,used
560,성,U+C131,49457,0,560,used
561,세,U+C138,49464,8,560,used
562,센,U+C13C,49468,16,560,used
563,셀,U+C140,49472,24,560,used
564,셈,U+C148,49480,32,560,used
565,셋,U+C14B,49483,40,560,used
566,셔,U+C154,49492,48,560,used
567,션,U+C158,49496,56,560,used
568,셨,U+C168,49512,64,560,used
569,셰,U+C170,49520,72,560,used
570,셸,U+C178,49528,80,560,used
571,소,U+C18C,49548,88,560,used
572,속,U+C18D,49549,96,560,used
573,손,U+C190,49552,104,560,used
574,솔,U+C194,49556,112,560,used
575,솜,U+C19C,49564,120,560,used
576,솟,U+C19F,49567,0,576,used
577,송,U+C1A1,49569,8,576,used
578,쇄,U+C1C4,49604,16,576,used
579,쇠,U+C1E0,49632,24,576,used
580,쇳,U+C1F3,49651,32,576,used
581,쇼,U+C1FC,49660,40,576,used
582,수,U+C218,49688,48,576,used
583,숙,U+C219,49689,56,576,used
584,순,U+C21C,49692,64,576,used
585,술,U+C220,49696,72,576,used
586,숨,U+C228,49704,80,576,used
587,숫,U+C22B,49707,88,576,used
588,쉬,U+C26C,49772,96,576,used
589,쉴,U+C274,49780,104,576,used
590,쉽,U+C27D,49789,112,576,used
591,쉿,U+C27F,49791,120,576,used
592,슈,U+C288,49800,0,592,used
593,스,U+C2A4,49828,8,592,used
594,슨,U+C2A8,49832,16,592,used
595,슬,U+C2AC,49836,24,592,used
596,슴,U+C2B4,49844,32,592,used
597,습,U+C2B5,49845,40,592,used
598,슷,U+C2B7,49847,48,592,used
599,승,U+C2B9,49849,56,592,used
600,시,U+C2DC,49884,64,592,used
601,식,U+C2DD,49885,72,592,used
602,신,U+C2E0,49888,80,592,used
603,실,U+C2E4,49892,88,592,used
604,싫,U+C2EB,49899,96,592,used
605,심,U+C2EC,49900,104,592,used
606,십,U+C2ED,49901,112,592,used
607,싱,U+C2F1,49905,120,592,used
608,싶,U+C2F6,49910,0,608,used
609,싸,U+C2F8,49912,8,608,used
610,싹,U+C2F9,49913,16,608,used
611,싼,U+C2FC,49916,24,608,used
612,쌌,U+C30C,49932,32,608,used
613,쌍,U+C30D,49933,40,608,used
614,쌓,U+C313,49939,48,608,used
615,쌩,U+C329,49961,56,608,used
616,써,U+C368,50024,64,608,used
617,썩,U+C369,50025,72,608,used
618,썰,U+C370,50032,80,608,used
619,썼,U+C37C,50044,88,608,used
620,쎄,U+C384,50052,96,608,used
621,쏘,U+C3D8,50136,104,608,used
622,쏜,U+C3DC,50140,112,608,used
623,쏟,U+C3DF,50143,120,608,used
624,쏠,U+C3E0,50144,0,624,used
625,쏴,U+C3F4,50164,8,624,used
626,쐬,U+C42C,50220,16,624,used
627,쑤,U+C464,50276,24,624,used
628,쑥,U+C465,50277,32,624,used
629,쓰,U+C4F0,50416,40,624,used
630,쓴,U+C4F4,50420,48,624,used
631,쓸,U+C4F8,50424,56,624,used
632,씀,U+C500,50432,64,624,used
633,씁,U+C501,50433,72,624,used
634,씌,U+C50C,50444,80,624,used
635,씨,U+C528,50472,88,624,used
636,씩,U+C529,50473,96,624,used
637,씬,U+C52C,50476,104,624,used
638,아,U+C544,50500,112,624,used
639,악,U+C545,50501,120,624,used
640,안,U+C548,50504,0,640,used
641,앉,U+C549,50505,8,640,used
642,않,U+C54A,50506,16,640,used
643,알,U+C54C,50508,24,640,used
644,앓,U+C553,50515,32,640,used
645,암,U+C554,50516,40,640,used
646,압,U+C555,50517,48,640,used
647,앗,U+C557,50519,56,640,used
648,았,U+C558,50520,64,640,used
649,앙,U+C559,50521,72,640,used
650,앞,U+C55E,50526,80,640,used
651,애,U+C560,50528,88,640,used
652,액,U+C561,50529,96,640,used
653,앤,U+C564,50532,104,640,used
654,앨,U+C568,50536,112,640,used
655,앰,U+C570,50544,120,640,used
656,앵,U+C575,50549,0,656,used
657,야,U+C57C,50556,8,656,used
658,약,U+C57D,50557,16,656,used
659,얀,U+C580,50560,24,656,used
660,얌,U+C58C,50572,32,656,used
661,양,U+C591,50577,40,656,used
662,얕,U+C595,50581,48,656,used
663,얗,U+C597,50583,56,656,used
664,얘,U+C598,50584,64,656,used
665,어,U+C5B4,50612,72,656,used
666,억,U+C5B5,50613,80,656,used
667,언,U+C5B8,50616,88,656,used
668,얹,U+C5B9,50617,96,656,used
669,얻,U+C5BB,50619,104,656,used
670,얼,U+C5BC,50620,112,656,used
671,얽,U+C5BD,50621,120,656,used
672,엄,U+C5C4,50628,0,672,used
673,업,U+C5C5,50629,8,672,used
674,없,U+C5C6,50630,16,672,used
675,엇,U+C5C7,50631,24,672,used
676,었,U+C5C8,50632,32,672,used
677,엉,U+C5C9,50633,40,672,used
678,엊,U+C5CA,50634,48,672,used
679,엌,U+C5CC,50636,56,672,used
680,에,U+C5D0,50640,64,672,used
681,엑,U+C5D1,50641,72,672,used
682,엔,U+C5D4,50644,80,672,used
683,엘,U+C5D8,50648,88,672,used
684,엠,U+C5E0,50656,96,672,used
685,엡,U+C5E1,50657,104,672,used
686,엣,U+C5E3,50659,112,672,used
687,여,U+C5EC,50668,120,672,used
688,역,U+C5ED,50669,0,688,used
689,엮,U+C5EE,50670,8,688,used
690,연,U+C5F0,50672,16,688,used
691,열,U+C5F4,50676,24,688,used
692,염,U+C5FC,50684,32,688,used
693,엾,U+C5FE,50686,40,688,used
694,엿,U+C5FF,50687,48,688,used
695,였,U+C600,50688,56,688,used
696,영,U+C601,50689,64,688,used
