"token_index";"character";"unicode";"token_word";"token_hi";"token_lo";"initial_index";"medial_index";"final_index";"composition_payload"
"32";"겸";"U+ACB8";"0x8153";"0x81";"0x53";"0";"6";"16";"0x00D0"
"33";"겹";"U+ACB9";"0x8154";"0x81";"0x54";"0";"6";"17";"0x00D1"
"34";"겼";"U+ACBC";"0x8157";"0x81";"0x57";"0";"6";"20";"0x00D4"
"35";"경";"U+ACBD";"0x8158";"0x81";"0x58";"0";"6";"21";"0x00D5"
"36";"곁";"U+ACC1";"0x815D";"0x81";"0x5D";"0";"6";"25";"0x00D9"
"37";"계";"U+ACC4";"0x8160";"0x81";"0x60";"0";"7";"0";"0x00E0"
"38";"고";"U+ACE0";"0x817C";"0x81";"0x7C";"0";"8";"0";"0x0100"
"39";"곡";"U+ACE1";"0x817D";"0x81";"0x7D";"0";"8";"1";"0x0101"
"40";"곤";"U+ACE4";"0x8181";"0x81";"0x81";"0";"8";"4";"0x0104"
"41";"곧";"U+ACE7";"0x8184";"0x81";"0x84";"0";"8";"7";"0x0107"
"42";"골";"U+ACE8";"0x8185";"0x81";"0x85";"0";"8";"8";"0x0108"
"43";"곯";"U+ACEF";"0x8191";"0x81";"0x91";"0";"8";"15";"0x010F"
"44";"곱";"U+ACF1";"0x8194";"0x81";"0x94";"0";"8";"17";"0x0111"
"45";"곳";"U+ACF3";"0x8196";"0x81";"0x96";"0";"8";"19";"0x0113"
"46";"공";"U+ACF5";"0x8198";"0x81";"0x98";"0";"8";"21";"0x0115"
"47";"과";"U+ACFC";"0x81A1";"0x81";"0xA1";"0";"9";"0";"0x0120"
"48";"곽";"U+ACFD";"0x81A2";"0x81";"0xA2";"0";"9";"1";"0x0121"
"49";"관";"U+AD00";"0x81AA";"0x81";"0xAA";"0";"9";"4";"0x0124"
"50";"광";"U+AD11";"0x81BB";"0x81";"0xBB";"0";"9";"21";"0x0135"
"51";"괜";"U+AD1C";"0x81C6";"0x81";"0xC6";"0";"10";"4";"0x0144"
"52";"괭";"U+AD2D";"0x81D7";"0x81";"0xD7";"0";"10";"21";"0x0155"
"53";"괴";"U+AD34";"0x81DF";"0x81";"0xDF";"0";"11";"0";"0x0160"
"54";"괸";"U+AD38";"0x81E9";"0x81";"0xE9";"0";"11";"4";"0x0164"
"55";"굉";"U+AD49";"0x81FC";"0x81";"0xFC";"0";"11";"21";"0x0175"
"56";"교";"U+AD50";"0x8246";"0x82";"0x46";"0";"12";"0";"0x0180"
"57";"구";"U+AD6C";"0x8263";"0x82";"0x63";"0";"13";"0";"0x01A0"
"58";"국";"U+AD6D";"0x8264";"0x82";"0x64";"0";"13";"1";"0x01A1"
"59";"군";"U+AD70";"0x8267";"0x82";"0x67";"0";"13";"4";"0x01A4"
"60";"굳";"U+AD73";"0x826A";"0x82";"0x6A";"0";"13";"7";"0x01A7"
"61";"굴";"U+AD74";"0x826B";"0x82";"0x6B";"0";"13";"8";"0x01A8"
"62";"굵";"U+AD75";"0x826C";"0x82";"0x6C";"0";"13";"9";"0x01A9"
"63";"굶";"U+AD76";"0x826D";"0x82";"0x6D";"0";"13";"10";"0x01AA"
"64";"굽";"U+AD7D";"0x8274";"0x82";"0x74";"0";"13";"17";"0x01B1"
"65";"굿";"U+AD7F";"0x8276";"0x82";"0x76";"0";"13";"19";"0x01B3"
"66";"궁";"U+AD81";"0x8278";"0x82";"0x78";"0";"13";"21";"0x01B5"
"67";"권";"U+AD8C";"0x8284";"0x82";"0x84";"0";"14";"4";"0x01C4"
"68";"귀";"U+ADC0";"0x82C5";"0x82";"0xC5";"0";"16";"0";"0x0200"
"69";"귓";"U+ADD3";"0x82D8";"0x82";"0xD8";"0";"16";"19";"0x0213"
"70";"규";"U+ADDC";"0x82E8";"0x82";"0xE8";"0";"17";"0";"0x0220"
"71";"그";"U+ADF8";"0x8349";"0x83";"0x49";"0";"18";"0";"0x0240"
"72";"극";"U+ADF9";"0x834A";"0x83";"0x4A";"0";"18";"1";"0x0241"
"73";"근";"U+ADFC";"0x834D";"0x83";"0x4D";"0";"18";"4";"0x0244"
"74";"글";"U+AE00";"0x8351";"0x83";"0x51";"0";"18";"8";"0x0248"
"75";"금";"U+AE08";"0x8359";"0x83";"0x59";"0";"18";"16";"0x0250"
"76";"급";"U+AE09";"0x835A";"0x83";"0x5A";"0";"18";"17";"0x0251"
"77";"긋";"U+AE0B";"0x835D";"0x83";"0x5D";"0";"18";"19";"0x0253"
"78";"기";"U+AE30";"0x8383";"0x83";"0x83";"0";"20";"0";"0x0280"
"79";"긴";"U+AE34";"0x8387";"0x83";"0x87";"0";"20";"4";"0x0284"
"80";"길";"U+AE38";"0x8390";"0x83";"0x90";"0";"20";"8";"0x0288"
"81";"김";"U+AE40";"0x8399";"0x83";"0x99";"0";"20";"16";"0x0290"
"82";"깃";"U+AE43";"0x839D";"0x83";"0x9D";"0";"20";"19";"0x0293"
"83";"깊";"U+AE4A";"0x83AA";"0x83";"0xAA";"0";"20";"26";"0x029A"
"84";"까";"U+AE4C";"0x83AC";"0x83";"0xAC";"1";"0";"0";"0x0400"
"85";"깐";"U+AE50";"0x83B0";"0x83";"0xB0";"1";"0";"4";"0x0404"
"86";"깔";"U+AE54";"0x83B4";"0x83";"0xB4";"1";"0";"8";"0x0408"
"87";"깜";"U+AE5C";"0x83BC";"0x83";"0xBC";"1";"0";"16";"0x0410"
"88";"깝";"U+AE5D";"0x83BD";"0x83";"0xBD";"1";"0";"17";"0x0411"
"89";"깥";"U+AE65";"0x83C5";"0x83";"0xC5";"1";"0";"25";"0x0419"
"90";"깨";"U+AE68";"0x83C8";"0x83";"0xC8";"1";"1";"0";"0x0420"
"91";"깰";"U+AE70";"0x83D0";"0x83";"0xD0";"1";"1";"8";"0x0428"
"92";"깼";"U+AE7C";"0x83DC";"0x83";"0xDC";"1";"1";"20";"0x0434"
"93";"꺄";"U+AE84";"0x83EB";"0x83";"0xEB";"1";"2";"0";"0x0440"
"94";"꺼";"U+AEBC";"0x8469";"0x84";"0x69";"1";"4";"0";"0x0480"
"95";"꺾";"U+AEBE";"0x846B";"0x84";"0x6B";"1";"4";"2";"0x0482"
"96";"껄";"U+AEC4";"0x8471";"0x84";"0x71";"1";"4";"8";"0x0488"
"97";"껏";"U+AECF";"0x847C";"0x84";"0x7C";"1";"4";"19";"0x0493"
"98";"껑";"U+AED1";"0x847E";"0x84";"0x7E";"1";"4";"21";"0x0495"
"99";"께";"U+AED8";"0x8486";"0x84";"0x86";"1";"5";"0";"0x04A0"
"100";"껴";"U+AEF4";"0x84AF";"0x84";"0xAF";"1";"6";"0";"0x04C0"
"101";"꼈";"U+AF08";"0x84C3";"0x84";"0xC3";"1";"6";"20";"0x04D4"
"102";"꼬";"U+AF2C";"0x84EF";"0x84";"0xEF";"1";"8";"0";"0x0500"
"103";"꼭";"U+AF2D";"0x84F0";"0x84";"0xF0";"1";"8";"1";"0x0501"
"104";"꼴";"U+AF34";"0x84F8";"0x84";"0xF8";"1";"8";"8";"0x0508"
"105";"꼼";"U+AF3C";"0x8543";"0x85";"0x43";"1";"8";"16";"0x0510"
"106";"꽂";"U+AF42";"0x8549";"0x85";"0x49";"1";"8";"22";"0x0516"
"107";"꽃";"U+AF43";"0x854A";"0x85";"0x4A";"1";"8";"23";"0x0517"
"108";"꽉";"U+AF49";"0x8550";"0x85";"0x50";"1";"9";"1";"0x0521"
"109";"꽤";"U+AF64";"0x856C";"0x85";"0x6C";"1";"10";"0";"0x0540"
"110";"꾸";"U+AFB8";"0x85CE";"0x85";"0xCE";"1";"13";"0";"0x05A0"
"111";"꾼";"U+AFBC";"0x85D2";"0x85";"0xD2";"1";"13";"4";"0x05A4"
"112";"꿀";"U+AFC0";"0x85D6";"0x85";"0xD6";"1";"13";"8";"0x05A8"
"113";"꿈";"U+AFC8";"0x85DF";"0x85";"0xDF";"1";"13";"16";"0x05B0"
"114";"꿔";"U+AFD4";"0x85F3";"0x85";"0xF3";"1";"14";"0";"0x05C0"
"115";"꿨";"U+AFE8";"0x864A";"0x86";"0x4A";"1";"14";"20";"0x05D4"
"116";"꿰";"U+AFF0";"0x8652";"0x86";"0x52";"1";"15";"0";"0x05E0"
"117";"뀌";"U+B00C";"0x866F";"0x86";"0x6F";"1";"16";"0";"0x0600"
"118";"뀔";"U+B014";"0x8677";"0x86";"0x77";"1";"16";"8";"0x0608"
"119";"끄";"U+B044";"0x86B5";"0x86";"0xB5";"1";"18";"0";"0x0640"
"120";"끈";"U+B048";"0x86B9";"0x86";"0xB9";"1";"18";"4";"0x0644"
"121";"끊";"U+B04A";"0x86BB";"0x86";"0xBB";"1";"18";"6";"0x0646"
"122";"끌";"U+B04C";"0x86BD";"0x86";"0xBD";"1";"18";"8";"0x0648"
"123";"끓";"U+B053";"0x86C4";"0x86";"0xC4";"1";"18";"15";"0x064F"
"124";"끔";"U+B054";"0x86C5";"0x86";"0xC5";"1";"18";"16";"0x0650"
"125";"끗";"U+B057";"0x86C8";"0x86";"0xC8";"1";"18";"19";"0x0653"
"126";"끙";"U+B059";"0x86CA";"0x86";"0xCA";"1";"18";"21";"0x0655"
"127";"끝";"U+B05D";"0x86CE";"0x86";"0xCE";"1";"18";"25";"0x0659"
"128";"끼";"U+B07C";"0x86F6";"0x86";"0xF6";"1";"20";"0";"0x0680"
"129";"낀";"U+B080";"0x86FA";"0x86";"0xFA";"1";"20";"4";"0x0684"
"130";"낄";"U+B084";"0x8741";"0x87";"0x41";"1";"20";"8";"0x0688"
"131";"낌";"U+B08C";"0x8749";"0x87";"0x49";"1";"20";"16";"0x0690"
"132";"나";"U+B098";"0x8755";"0x87";"0x55";"2";"0";"0";"0x0800"
"133";"낙";"U+B099";"0x8756";"0x87";"0x56";"2";"0";"1";"0x0801"
"134";"난";"U+B09C";"0x8759";"0x87";"0x59";"2";"0";"4";"0x0804"
"135";"날";"U+B0A0";"0x875E";"0x87";"0x5E";"2";"0";"8";"0x0808"
"136";"낡";"U+B0A1";"0x875F";"0x87";"0x5F";"2";"0";"9";"0x0809"
"137";"남";"U+B0A8";"0x8766";"0x87";"0x66";"2";"0";"16";"0x0810"
"138";"납";"U+B0A9";"0x8767";"0x87";"0x67";"2";"0";"17";"0x0811"
"139";"낫";"U+B0AB";"0x8769";"0x87";"0x69";"2";"0";"19";"0x0813"
"140";"났";"U+B0AC";"0x876A";"0x87";"0x6A";"2";"0";"20";"0x0814"
"141";"낭";"U+B0AD";"0x876B";"0x87";"0x6B";"2";"0";"21";"0x0815"
"142";"낮";"U+B0AE";"0x876C";"0x87";"0x6C";"2";"0";"22";"0x0816"
"143";"낯";"U+B0AF";"0x876D";"0x87";"0x6D";"2";"0";"23";"0x0817"
"144";"낳";"U+B0B3";"0x8771";"0x87";"0x71";"2";"0";"27";"0x081B"
"145";"내";"U+B0B4";"0x8772";"0x87";"0x72";"2";"1";"0";"0x0820"
"146";"낸";"U+B0B8";"0x8776";"0x87";"0x76";"2";"1";"4";"0x0824"
"147";"낼";"U+B0BC";"0x877A";"0x87";"0x7A";"2";"1";"8";"0x0828"
"148";"냄";"U+B0C4";"0x8783";"0x87";"0x83";"2";"1";"16";"0x0830"
"149";"냅";"U+B0C5";"0x8784";"0x87";"0x84";"2";"1";"17";"0x0831"
"150";"냈";"U+B0C8";"0x8787";"0x87";"0x87";"2";"1";"20";"0x0834"
"151";"냉";"U+B0C9";"0x8788";"0x87";"0x88";"2";"1";"21";"0x0835"
"152";"냐";"U+B0D0";"0x8795";"0x87";"0x95";"2";"2";"0";"0x0840"
"153";"냥";"U+B0E5";"0x87B1";"0x87";"0xB1";"2";"2";"21";"0x0855"
"154";"너";"U+B108";"0x87D4";"0x87";"0xD4";"2";"4";"0";"0x0880"
"155";"넋";"U+B10B";"0x87D7";"0x87";"0xD7";"2";"4";"3";"0x0883"
"156";"넌";"U+B10C";"0x87D8";"0x87";"0xD8";"2";"4";"4";"0x0884"
"157";"널";"U+B110";"0x87DC";"0x87";"0xDC";"2";"4";"8";"0x0888"
"158";"넓";"U+B113";"0x87E6";"0x87";"0xE6";"2";"4";"11";"0x088B"
"159";"넘";"U+B118";"0x87EB";"0x87";"0xEB";"2";"4";"16";"0x0890"
"160";"넜";"U+B11C";"0x87F0";"0x87";"0xF0";"2";"4";"20";"0x0894"
"161";"넣";"U+B123";"0x87F8";"0x87";"0xF8";"2";"4";"27";"0x089B"
"162";"네";"U+B124";"0x87F9";"0x87";"0xF9";"2";"5";"0";"0x08A0"
"163";"넨";"U+B128";"0x8840";"0x88";"0x40";"2";"5";"4";"0x08A4"
"164";"넬";"U+B12C";"0x8844";"0x88";"0x44";"2";"5";"8";"0x08A8"
"165";"넵";"U+B135";"0x884D";"0x88";"0x4D";"2";"5";"17";"0x08B1"
"166";"넸";"U+B138";"0x8850";"0x88";"0x50";"2";"5";"20";"0x08B4"
"167";"녀";"U+B140";"0x8858";"0x88";"0x58";"2";"6";"0";"0x08C0"
"168";"녁";"U+B141";"0x8859";"0x88";"0x59";"2";"6";"1";"0x08C1"
"169";"년";"U+B144";"0x885D";"0x88";"0x5D";"2";"6";"4";"0x08C4"
"170";"념";"U+B150";"0x8869";"0x88";"0x69";"2";"6";"16";"0x08D0"
"171";"녔";"U+B154";"0x886D";"0x88";"0x6D";"2";"6";"20";"0x08D4"
"172";"녕";"U+B155";"0x886E";"0x88";"0x6E";"2";"6";"21";"0x08D5"
"173";"노";"U+B178";"0x8898";"0x88";"0x98";"2";"8";"0";"0x0900"
"174";"녹";"U+B179";"0x8899";"0x88";"0x99";"2";"8";"1";"0x0901"
"175";"논";"U+B17C";"0x889D";"0x88";"0x9D";"2";"8";"4";"0x0904"
"176";"놀";"U+B180";"0x88A2";"0x88";"0xA2";"2";"8";"8";"0x0908"
"177";"놈";"U+B188";"0x88AF";"0x88";"0xAF";"2";"8";"16";"0x0910"
"178";"농";"U+B18D";"0x88B4";"0x88";"0xB4";"2";"8";"21";"0x0915"
"179";"높";"U+B192";"0x88B9";"0x88";"0xB9";"2";"8";"26";"0x091A"
"180";"놓";"U+B193";"0x88BA";"0x88";"0xBA";"2";"8";"27";"0x091B"
"181";"놔";"U+B194";"0x88BB";"0x88";"0xBB";"2";"9";"0";"0x0920"
"182";"놨";"U+B1A8";"0x88CF";"0x88";"0xCF";"2";"9";"20";"0x0934"
"183";"뇌";"U+B1CC";"0x88FC";"0x88";"0xFC";"2";"11";"0";"0x0960"
"184";"뇨";"U+B1E8";"0x8B5B";"0x8B";"0x5B";"2";"12";"0";"0x0980"
"185";"누";"U+B204";"0x8B78";"0x8B";"0x78";"2";"13";"0";"0x09A0"
"186";"눈";"U+B208";"0x8B7C";"0x8B";"0x7C";"2";"13";"4";"0x09A4"
"187";"눌";"U+B20C";"0x8B81";"0x8B";"0x81";"2";"13";"8";"0x09A8"
"188";"눕";"U+B215";"0x8B8F";"0x8B";"0x8F";"2";"13";"17";"0x09B1"
"189";"눠";"U+B220";"0x8B9B";"0x8B";"0x9B";"2";"14";"0";"0x09C0"
"190";"눴";"U+B234";"0x8BB6";"0x8B";"0xB6";"2";"14";"20";"0x09D4"
"191";"뉘";"U+B258";"0x8BDA";"0x8B";"0xDA";"2";"16";"0";"0x0A00"
"192";"뉜";"U+B25C";"0x8BDF";"0x8B";"0xDF";"2";"16";"4";"0x0A04"
"193";"뉴";"U+B274";"0x8F42";"0x8F";"0x42";"2";"17";"0";"0x0A20"
"194";"느";"U+B290";"0x8F5F";"0x8F";"0x5F";"2";"18";"0";"0x0A40"
"195";"는";"U+B294";"0x8F63";"0x8F";"0x63";"2";"18";"4";"0x0A44"
"196";"늘";"U+B298";"0x8F67";"0x8F";"0x67";"2";"18";"8";"0x0A48"
"197";"늙";"U+B299";"0x8F68";"0x8F";"0x68";"2";"18";"9";"0x0A49"
"198";"능";"U+B2A5";"0x8F74";"0x8F";"0x74";"2";"18";"21";"0x0A55"
"199";"늦";"U+B2A6";"0x8F75";"0x8F";"0x75";"2";"18";"22";"0x0A56"
"200";"늬";"U+B2AC";"0x8F7B";"0x8F";"0x7B";"2";"19";"0";"0x0A60"
"201";"니";"U+B2C8";"0x8FA0";"0x8F";"0xA0";"2";"20";"0";"0x0A80"
"202";"닉";"U+B2C9";"0x8FA1";"0x8F";"0xA1";"2";"20";"1";"0x0A81"
"203";"닌";"U+B2CC";"0x8FA5";"0x8F";"0xA5";"2";"20";"4";"0x0A84"
"204";"닐";"U+B2D0";"0x8FAD";"0x8F";"0xAD";"2";"20";"8";"0x0A88"
"205";"님";"U+B2D8";"0x8FB5";"0x8F";"0xB5";"2";"20";"16";"0x0A90"
"206";"닙";"U+B2D9";"0x8FB6";"0x8F";"0xB6";"2";"20";"17";"0x0A91"
"207";"닛";"U+B2DB";"0x8FB8";"0x8F";"0xB8";"2";"20";"19";"0x0A93"
"208";"닝";"U+B2DD";"0x8FBA";"0x8F";"0xBA";"2";"20";"21";"0x0A95"
"209";"다";"U+B2E4";"0x8FC1";"0x8F";"0xC1";"3";"0";"0";"0x0C00"
"210";"닥";"U+B2E5";"0x8FC2";"0x8F";"0xC2";"3";"0";"1";"0x0C01"
"211";"닦";"U+B2E6";"0x8FC3";"0x8F";"0xC3";"3";"0";"2";"0x0C02"
"212";"단";"U+B2E8";"0x8FC5";"0x8F";"0xC5";"3";"0";"4";"0x0C04"
"213";"닫";"U+B2EB";"0x8FC8";"0x8F";"0xC8";"3";"0";"7";"0x0C07"
"214";"달";"U+B2EC";"0x8FC9";"0x8F";"0xC9";"3";"0";"8";"0x0C08"
"215";"닮";"U+B2EE";"0x8FCB";"0x8F";"0xCB";"3";"0";"10";"0x0C0A"
"216";"담";"U+B2F4";"0x8FD1";"0x8F";"0xD1";"3";"0";"16";"0x0C10"
"217";"답";"U+B2F5";"0x8FD2";"0x8F";"0xD2";"3";"0";"17";"0x0C11"
"218";"닷";"U+B2F7";"0x8FD4";"0x8F";"0xD4";"3";"0";"19";"0x0C13"
"219";"당";"U+B2F9";"0x8FD6";"0x8F";"0xD6";"3";"0";"21";"0x0C15"
"220";"닿";"U+B2FF";"0x8FDC";"0x8F";"0xDC";"3";"0";"27";"0x0C1B"
"221";"대";"U+B300";"0x8FDE";"0x8F";"0xDE";"3";"1";"0";"0x0C20"
"222";"댄";"U+B304";"0x8FE8";"0x8F";"0xE8";"3";"1";"4";"0x0C24"
"223";"댈";"U+B308";"0x8FED";"0x8F";"0xED";"3";"1";"8";"0x0C28"
"224";"댔";"U+B314";"0x8FFA";"0x8F";"0xFA";"3";"1";"20";"0x0C34"
"225";"댕";"U+B315";"0x8FFB";"0x8F";"0xFB";"3";"1";"21";"0x0C35"
"226";"더";"U+B354";"0x907E";"0x90";"0x7E";"3";"4";"0";"0x0C80"
"227";"덕";"U+B355";"0x9080";"0x90";"0x80";"3";"4";"1";"0x0C81"
"228";"던";"U+B358";"0x9083";"0x90";"0x83";"3";"4";"4";"0x0C84"
"229";"덜";"U+B35C";"0x9087";"0x90";"0x87";"3";"4";"8";"0x0C88"
"230";"덤";"U+B364";"0x9095";"0x90";"0x95";"3";"4";"16";"0x0C90"
"231";"덩";"U+B369";"0x909A";"0x90";"0x9A";"3";"4";"21";"0x0C95"
"232";"덫";"U+B36B";"0x909D";"0x90";"0x9D";"3";"4";"23";"0x0C97"
"233";"덮";"U+B36E";"0x90A1";"0x90";"0xA1";"3";"4";"26";"0x0C9A"
"234";"데";"U+B370";"0x90A3";"0x90";"0xA3";"3";"5";"0";"0x0CA0"
"235";"뎌";"U+B38C";"0x90C4";"0x90";"0xC4";"3";"6";"0";"0x0CC0"
"236";"뎠";"U+B3A0";"0x90D8";"0x90";"0xD8";"3";"6";"20";"0x0CD4"
"237";"도";"U+B3C4";"0x9148";"0x91";"0x48";"3";"8";"0";"0x0D00"
"238";"독";"U+B3C5";"0x9149";"0x91";"0x49";"3";"8";"1";"0x0D01"
"239";"돈";"U+B3C8";"0x914C";"0x91";"0x4C";"3";"8";"4";"0x0D04"
"240";"돋";"U+B3CB";"0x914F";"0x91";"0x4F";"3";"8";"7";"0x0D07"
"241";"돌";"U+B3CC";"0x9150";"0x91";"0x50";"3";"8";"8";"0x0D08"
"242";"돔";"U+B3D4";"0x9158";"0x91";"0x58";"3";"8";"16";"0x0D10"
"243";"돕";"U+B3D5";"0x9159";"0x91";"0x59";"3";"8";"17";"0x0D11"
"244";"동";"U+B3D9";"0x915E";"0x91";"0x5E";"3";"8";"21";"0x0D15"
"245";"돼";"U+B3FC";"0x9182";"0x91";"0x82";"3";"10";"0";"0x0D40"
"246";"됐";"U+B410";"0x919D";"0x91";"0x9D";"3";"10";"20";"0x0D54"
"247";"되";"U+B418";"0x91AB";"0x91";"0xAB";"3";"11";"0";"0x0D60"
"248";"된";"U+B41C";"0x91AF";"0x91";"0xAF";"3";"11";"4";"0x0D64"
"249";"될";"U+B420";"0x91B3";"0x91";"0xB3";"3";"11";"8";"0x0D68"
"250";"됩";"U+B429";"0x91BC";"0x91";"0xBC";"3";"11";"17";"0x0D71"
"251";"두";"U+B450";"0x91EA";"0x91";"0xEA";"3";"13";"0";"0x0DA0"
"252";"둑";"U+B451";"0x91EB";"0x91";"0xEB";"3";"13";"1";"0x0DA1"
"253";"둔";"U+B454";"0x91EF";"0x91";"0xEF";"3";"13";"4";"0x0DA4"
"254";"둘";"U+B458";"0x91F4";"0x91";"0xF4";"3";"13";"8";"0x0DA8"
"255";"둠";"U+B460";"0x91FC";"0x91";"0xFC";"3";"13";"16";"0x0DB0"
"256";"둡";"U+B461";"0x9240";"0x92";"0x40";"3";"13";"17";"0x0DB1"
"257";"둥";"U+B465";"0x9244";"0x92";"0x44";"3";"13";"21";"0x0DB5"
"258";"둬";"U+B46C";"0x924B";"0x92";"0x4B";"3";"14";"0";"0x0DC0"
"259";"뒀";"U+B480";"0x9260";"0x92";"0x60";"3";"14";"20";"0x0DD4"
"260";"뒤";"U+B4A4";"0x9285";"0x92";"0x85";"3";"16";"0";"0x0E00"
"261";"뒷";"U+B4B7";"0x92A0";"0x92";"0xA0";"3";"16";"19";"0x0E13"
"262";"뒹";"U+B4B9";"0x92A2";"0x92";"0xA2";"3";"16";"21";"0x0E15"
"263";"듀";"U+B4C0";"0x92AE";"0x92";"0xAE";"3";"17";"0";"0x0E20"
"264";"드";"U+B4DC";"0x92CA";"0x92";"0xCA";"3";"18";"0";"0x0E40"
"265";"득";"U+B4DD";"0x92CB";"0x92";"0xCB";"3";"18";"1";"0x0E41"
"266";"든";"U+B4E0";"0x92CE";"0x92";"0xCE";"3";"18";"4";"0x0E44"
"267";"듣";"U+B4E3";"0x92D1";"0x92";"0xD1";"3";"18";"7";"0x0E47"
"268";"들";"U+B4E4";"0x92D2";"0x92";"0xD2";"3";"18";"8";"0x0E48"
"269";"듬";"U+B4EC";"0x92DA";"0x92";"0xDA";"3";"18";"16";"0x0E50"
"270";"듯";"U+B4EF";"0x92DE";"0x92";"0xDE";"3";"18";"19";"0x0E53"
"271";"등";"U+B4F1";"0x92E6";"0x92";"0xE6";"3";"18";"21";"0x0E55"
"272";"디";"U+B514";"0x944E";"0x94";"0x4E";"3";"20";"0";"0x0E80"
"273";"딘";"U+B518";"0x9452";"0x94";"0x52";"3";"20";"4";"0x0E84"
"274";"딜";"U+B51C";"0x9456";"0x94";"0x56";"3";"20";"8";"0x0E88"
"275";"딩";"U+B529";"0x9464";"0x94";"0x64";"3";"20";"21";"0x0E95"
"276";"딪";"U+B52A";"0x9465";"0x94";"0x65";"3";"20";"22";"0x0E96"
"277";"따";"U+B530";"0x946B";"0x94";"0x6B";"4";"0";"0";"0x1000"
"278";"딱";"U+B531";"0x946C";"0x94";"0x6C";"4";"0";"1";"0x1001"
"279";"딴";"U+B534";"0x946F";"0x94";"0x6F";"4";"0";"4";"0x1004"
"280";"땀";"U+B540";"0x947B";"0x94";"0x7B";"4";"0";"16";"0x1010"
"281";"땅";"U+B545";"0x9481";"0x94";"0x81";"4";"0";"21";"0x1015"
"282";"때";"U+B54C";"0x9488";"0x94";"0x88";"4";"1";"0";"0x1020"
"283";"땠";"U+B560";"0x94A5";"0x94";"0xA5";"4";"1";"20";"0x1034"
"284";"떠";"U+B5A0";"0x94F2";"0x94";"0xF2";"4";"4";"0";"0x1080"
"285";"떡";"U+B5A1";"0x94F3";"0x94";"0xF3";"4";"4";"1";"0x1081"
"286";"떤";"U+B5A4";"0x94F6";"0x94";"0xF6";"4";"4";"4";"0x1084"
"287";"떨";"U+B5A8";"0x94FA";"0x94";"0xFA";"4";"4";"8";"0x1088"
"288";"떴";"U+B5B4";"0x9549";"0x95";"0x49";"4";"4";"20";"0x1094"
